"","start.station.id","X","start.station.latitude","start.station.longitude","hire","start.station.name"
"209",467,330,40.68312489,-73.97895137,1560,"Dean St & 4 Ave"
"92",320,61,40.717571,-74.005549,1558,"Leonard St & Church St"
"500",3349,412,40.6729679,-73.97087984,1556,"Grand Army Plaza & Plaza St West"
"75",302,341,40.72082834,-73.97793172,1553,"Avenue D & E 3 St"
"9",143,161,40.69239502,-73.99337909,1545,"Clinton St & Joralemon St"
"407",3176,230,40.77452835,-73.98753759,1543,"W 64 St & West End Ave"
"501",3350,415,40.7973721,-73.97041192,1541,"W 100 St & Broadway"
"394",3162,309,40.78339981,-73.98093133,1531,"W 78 St & Broadway"
"522",3372,552,40.7689738,-73.95482273,1499,"E 74 St & 1 Ave"
"123",356,285,40.71622644,-73.98261206,1495,"Bialystoker Pl & Delancey St"
"180",427,10,40.701907,-74.013942,1486,"Bus Slip & State St"
"119",351,58,40.70530954,-74.00612572,1485,"Front St & Maiden Ln"
"170",415,31,40.7047177,-74.00926027,1485,"Pearl St & Hanover Square"
"111",342,317,40.71739973,-73.98016555,1470,"Columbia St & Rivington St"
"404",3172,348,40.7785669,-73.97754961,1465,"W 74 St & Columbus Ave"
"457",3305,604,40.7811222993417,-73.9496558904648,1460,"E 91 St & 2 Ave"
"81",308,113,40.71307916,-73.99851193,1459,"St James Pl & Oliver St"
"151",393,319,40.72299208,-73.97995466,1451,"E 5 St & Avenue C"
"470",3318,631,40.7839636,-73.9471673,1447,"2 Ave & E 96 St"
"408",3177,352,40.7867947,-73.977112,1441,"W 84 St & Broadway"
"330",3086,652,40.715143,-73.944507,1433,"Graham Ave & Conselyea St"
"138",376,49,40.70862144,-74.00722156,1432,"John St & William St"
"60",276,23,40.71748752,-74.0104554,1418,"Duane St & Greenwich St"
"162",406,133,40.69512845,-73.99595065,1392,"Hicks St & Montague St"
"52",264,48,40.70706456,-74.00731853,1385,"Maiden Ln & Pearl St"
"637",3521,580,40.7987859,-73.9523,1375,"Lenox Ave & W 111 St"
"133",366,425,40.693261,-73.968896,1374,"Clinton Ave & Myrtle Ave"
"79",306,62,40.70823502,-74.00530063,1366,"Cliff St & Fulton St_1"
"563",3418,408,40.6750207,-73.97111473,1364,"Plaza St West & Flatbush Ave"
"583",3447,535,40.7670343230987,-73.9562273025513,1364,"E 71 St & 1 Ave"
"517",3367,575,40.7922553,-73.95249933,1355,"5 Ave & E 103 St"
"147",389,452,40.71044554,-73.96525063,1353,"Broadway & Berry St"
"222",481,470,40.71260486,-73.96264403,1353,"S 3 St & Bedford Ave"
"387",3155,441,40.76440023,-73.96648977,1349,"Lexington Ave & E 63 St"
"167",411,357,40.72228087,-73.97668709,1337,"E 6 St & Avenue D"
"87",314,193,40.69383,-73.990539,1331,"Cadman Plaza West & Montague St"
"370",3134,451,40.76312584,-73.96526895,1325,"3 Ave & E 62 St"
"89",316,55,40.70955958,-74.00653609,1324,"Fulton St & William St"
"155",398,98,40.69165183,-73.9999786,1320,"Atlantic Ave & Furman St"
"594",3462,403,40.7511838746328,-73.9713871479034,1316,"E 44 St & 2 Ave"
"655",3539,487,40.8067581,-73.9607082,1316,"W 116 St & Amsterdam Ave"
"383",3148,592,40.77565541,-73.95068615,1313,"E 84 St & 1 Ave"
"198",454,445,40.75455731,-73.96592976,1310,"E 51 St & 1 Ave"
"267",534,15,40.70255065,-74.0127234,1307,"Water - Whitehall Plaza"
"117",349,275,40.71850211,-73.98329859,1304,"Rivington St & Ridge St"
"624",3507,689,40.8045555,-73.9396861,1297,"Park Ave & E 124 St"
