"","start.station.id","start.station.latitude","start.station.longitude","hire"
"182",322,40.696192,-73.991218,960
"183",293,40.7302066052995,-73.9910262823105,5139
"184",529,40.7575699,-73.99098507,2599
"185",492,40.75019995,-73.99093085,4647
"186",3332,40.681990442707,-73.9907902479172,458
"187",3263,40.7295149622495,-73.990752696991,4680
"188",285,40.73454567,-73.99074142,5959
"189",403,40.72502876,-73.99069656,2637
"190",3409,40.6867443,-73.99063168,2106
"191",480,40.76669671,-73.99061728,2478
"192",530,40.771522,-73.990541,3094
"193",314,40.69383,-73.990539,1319
"194",3322,40.668603,-73.9904394,271
"195",3377,40.6786115,-73.99037292,745
"196",232,40.69597683,-73.99014892,886
"197",497,40.73704984,-73.99009296,7646
"198",477,40.75640548,-73.9900262,5509
"199",401,40.72019576,-73.98997825,2833
"200",307,40.71427487,-73.98990025,3082
"201",3399,40.6726029815013,-73.9898300170898,336
"202",439,40.7262807,-73.98978041,3418
"203",321,40.69991755,-73.98971773,1611
"204",402,40.7403432,-73.98955109,7863
"205",3440,40.6924182925785,-73.989494740963,1885
"206",2000,40.70255088,-73.98940236,2059
"207",3641,40.7428687731211,-73.9891862869263,5178
"208",310,40.68926942,-73.98912867,1110
"209",312,40.722055,-73.989111,2910
"210",3421,40.6843549,-73.98901629,308
"211",3319,40.666287,-73.98895053,593
"212",483,40.73223272,-73.98889957,3613
"213",3173,40.777507027548,-73.9888858795166,1667
"214",3403,40.6705135,-73.98876585,563
"215",513,40.768254,-73.988639,1840
"216",2021,40.75929124,-73.98859651,3215
"217",486,40.7462009,-73.98855723,3688
"218",505,40.74901271,-73.98848395,4766
"219",498,40.74854862,-73.98808416,3903
"220",422,40.770513,-73.988038,1878
"221",311,40.7172274,-73.98802084,1963
"222",3463,40.7353670556054,-73.9879739284515,2687
"223",450,40.76227205,-73.98788205,3846
"224",340,40.71269042,-73.98776323,1227
"225",3373,40.6750705,-73.98775226,753
"226",414,40.70281858,-73.98765762,1052
"227",3407,40.6790979972168,-73.9876547455788,615
"228",267,40.75097711,-73.98765428,2536
"229",3410,40.6864442,-73.98759104,585
"230",3176,40.77452835,-73.98753759,1522
"231",362,40.75172632,-73.98753523,1650
